"aabaadi","اٰبادي"
"taqaza","تقاضه"
"taqbeel","تقبيل"
"taqdees","تقديس كروؤ"
"taqarrub","تقرب"
"taqreeban","تقريباً"
"taqreer","تقرير"
"taqseem","تقسيم"
"taqseer","تقصير"
"taqwa","تقوىْ"
"taqi-atqeya","تقي-اتقياء"
"taqiyat","تقية"
"takbeer","تكبير"
"takbira","تكبيرة"
"takzeeb","تكذيب"
"tukri","تكرٌي"
"tukra tukra kerwu","تكرا تكرا كروؤ"
"takraawu","تكراوؤ"
"takrao","تكراؤ"
"tukro-tukrao","تكرو-تكراؤ"
"takreem","تكريم"
"takalluf","تكلف"
"takleef","تكليف"
"takmeel","تكميل"
"takween","تكوين"
"takya","تكيه"
"talaash","تلاش"
"talaatum","تلاطم"
"tilawat","تلاوة"
"talbiyat","تلبية"
"talaffuz","تلفظ"
"talaqqi","تلقي"
"talqeen","تلقين"
"talwaar","تلوار"
"tulwu","تلوؤ"
"tamaku","تماكو"
"tamaam","تمام"
"tamamiyat","تمامية"
"tamhees","تمحيص"
"tamer","تمر"
"tamarrud kerwu","تمرد كروؤ"
"tamreen","تمرين"
"tamassuk","تمسك"
"tamalluq","تملق"
"tamanna","تمنىْ"
"tamheed","تمهيد"
"tameez","تميز"
"tamein","تميں"
"tamyeez","تمييز"
"tanaafus","تنافس"
"tanawul","تناول كروؤ"
"tanbeeh","تنبيه كروؤ"
"tandrust","تندرست"
"tanzeel","تنزيل"
"tanazzuf","تنظف"
"tanzeem","تنظيم"
"tang","تنگ"
"tangdast","تنگدست"
"tangi","تنگي"
"tanmiyat","تنمية"
"tanha","تنها"
"thaat","تهات"
"thaapan","تهاپن"
"thaapan","تهاپن"
"thaak","تهاك"
"thaaki jawu","تهاكي جاوؤ"
"thaal","تهال"
"thaami lewu","تهامي ليوؤ"
"tehzeeb","تهذيب"
"therthari jaawu","تهرتهري جاوؤ"
"theri jaawu","تهري جاوؤ"
"thakaan","تهكان"
"thakraani","تهكراني"
"thaki","تهكي"
"thamb","تهمب"
"tohmat","تهمة"
"thamelu","تهميلو"
"thandak","تهندك"
"thandu","تهندو"
"thandi","تهندي"
"tehniyat","تهنية"
"thora","تهورا"
"thoker","تهوكر"
"thookwu","تهوكوؤ"
"thukwu","تهوكوؤ"
"thejelu","تهيجيلو"
"thairwu","تهيروؤ"
"theek","تهيك"
"theli","تهيلي"
"tahaafut","تهافت"
"tehleel","تهليل"
"tohmat","تهمة"
"tahaiyo","تهيّؤ"
"tawaabeen","توابين"
"tawazo","تواضع"
"tuwaal","توال"
"tawba","توبة"
"tawbeekh","توبيخ كروؤ"
"tootwu","توتوؤ"
"toup","توپ"
"topi","توپي"
"tawajjoh","توجه"
"tawjeeh-tawjeehaat","توجيه-توجيهات"
"torwu","توروؤ"
"tawassul","توسل"
"tawsee'","توسيع"
"towshoh","توشه"
"tawfeeq","توفيق"
"tawqeer","توقير"
"tokri","توكري"
"tawakkul","توكل"
"tawalli kerwu","تولي كروؤ"
"tipo-tipa/tipao","تيپو-تيپا/تيپاؤ"
"teerwu","تيروؤ"
"taiz","تيز"
"teiz raftaar","تيز رفتار"
"taiz nigah","تيز نگاه"
"tayammonan","تيمّناً"
"tayammum","تيمم"
"taink","تينك"
"tewaare","تيوارے"
"thabit","ثابت"
"thara","ثرىْ"
"thuraiyya","ثريا"
"thareed","ثريد"
"thaqaafat","ثقافة"
"theqat","ثقة"
"theqal","ثقل"
"thaqeel","ثقيل"
"tholotha","ثلثاء"
"thamar","ثمر/ ثمرة-ثمار"
"thanaa","ثناء"
"thawaab","ثواب"
"jabaja","جابجا"
"jahid-jahood,jaahedeen","جاحد-جَحود،جاحدين"
"jaadu","جادو"
"jaadugar","جادوگر"
"jaar","جار"
"jaari","جارٌي"
"jaari","جاري"
"jaariyat","جارية"
"jaariya saariya","جارية سارية"
"jaazam","جازم"
"jaasus","جاسوس"
"jaasusi","جاسوسي"
"jaagwu","جاگوؤ"
"jaagir","جاگير"
"jaal","جال"
"jaalwu","جالوؤ"
"jaam","جام"
"jaame'","جامع"
"jaame' masjid","جامع مسجد"
"jaan-jaano","جان-جانو"
"jaanib-jawanib","جانب-جوانب"
"jaanjwo","جانجوو"
"jaandaar","جاندار"
"jaansoz","جانسوز"
"jaanesheen","جانشين"
"jaanfeshani","جانفشاني"
"jaanwar","جانور"
"jaanwu","جانوؤ"
"jaani joi ne","جاني جوئي نے"
"jaahil","جاهل"
"jaahiliyat","جاهلية"
"jaawetri","جاوتري"
"jaawedaani","جاوداني"
"jaawu","جاوؤ"
"jaaiz","جائز"
"jaaifal","جائفل"
"jabran","جبراً"
"jabr kerwu","جبركروؤ"
"jibraeel","جبرئيل"
"jabhat","جبهة"
"jabal-jibaal","جبل-جبال"
"jibillat","جبلة"
"jitnu","جتنو"
"jussat","جثة"
"japwu","جپوؤ"
"juhood","جحود"
"jad","جد"
"jad e amjad","جد امجد"
"jid o johod","جد و جهد"
"judaa","جدا"
"jadeed","جديد"
"juzaam","جذام"
"jazba, jazbo","جذبه"
"jer","جر"
"jur'at","جرأة"
"jirjir ni bhaaji","جرجير ني بهاجي"
"juz","جزء"
"jaza","جزاء"
"jaza' faza'","جزع فزع كروؤ"
"jazirah","جزيرة"
"jazeel","جزيل"
"justaju","جستجو"
"jasad","جسد-اجساد"
"jism","جسم-اجسام"
"jismaaniyat","جسمانية"
"jaseem","جسيم"
"jashan","جشن"
"jaha","جهاں"
"jahaan","جهان"
"johod","جهد"
"jahran","جهراً"
"jahwari","جهوري"
"jograafi","جغرافي"
"jafaa","جفاء"
"jugaar","جگار"
"jagat","جگت"
"jigar gosha","جگر گوشه"
"jigri doost","جگري دوست"
"jagah","جگه"
"jilaa","جلاء"
"jallaad","جلاد"
"jalaal","جلال"
"jald az jald","جلد از جلد"
"jaldi","جلدي"
"jalan","جلن"
"jalwo","جلوه"
"jalwa afroz","جلوه افروز تهاوؤ"
"jalwa gar","جلوه گر تهاوؤ"
"jalwa numa","جلوه نما تهاوؤ"
"jalwu","جلوؤ"
"jali","جلي"
"jalil","جليل"
"jamaadil ukhra","جمادى الاخرْى"
"jamaadil ulaa","جمادى الاولىْ"
"jamaarwu","جماروؤ"
"jima'","جماع"
"jamaa'at","جماعة"
"jamaal","جمال"
"jamaai","جمائي"
"jambaawu","جمباوؤ"
"jumbish","جمبش"
"jamhuriat","جمهورية"
"jama'","جمع"
"jama' kerwu","جمع كروؤ"
"jumo'a","جمعة"
"jumeraat","جمعرات"
"jumla","جملة"
"jaman","جمن"
"jamna","جمنا"
"jamwu","جموؤ"
"jameel","جميل"
"jin-jinnaat","جن-جنات"
"jana","جنا"
"janaab","جناب"
"janaabat","جنابة"
"janaaza","جنازه"
"janawu","جناوؤ"
"junnat","جنة"
"jannat","جنة-جنات"
"jang","جنگ"
"janam","جنم"
"junub","جنوب"
"janwu","جنوؤ"
"janeen","جنين"
"je","جه"
"jihaad","جهاد"
"jhaar","جهارٌ"
"jhaaru","جهارو"
"jahaalat","جهالة"
"jhaang","جهانگ"
"jhaankwu","جهانكوؤ"
"jhablo","جهبلو"
"jehat","جهة"
"juthaawu","جهتاوؤ"
"jhutlaawu","جهتلاوؤ"
"jharakwu","جهركوؤ"
"jharno","جهرنو"
"jharooka","جهروكا"
"jhagro","جهگرٌو"
"jhagraalu","جهگرالو"
"jhagru","جهگرو"
"jhukwu","جهكوؤ"
"jhilli","جهلّي"
"jehel","جهل"
"jhalak","جهلك"
"jhalakwu","جهلكوؤ"
"jhanjheerwu","جهنجهيروؤ"
"jahannam","جهنم"
"jhoot banaawat","جهوت بناوت"
"jhoot","جهوضض"
"jhoko","جهوكو"
"jhula","جهولا"
"jhulwu","جهولوؤ"
"jhili lewu","جهيلي ليوؤ"
"jawaab","جواب"
"jiwaar","جوار"
"jawaan","جوان"
"juta","جوتا"
"jud","جود"
"jor","جور"
"jour","جور"
"joraan","جوران"
"jorailu","جورائيلو"
"joro-jorao","جورو-جوراؤ"
"jorwu","جوروؤ"
"joosh","جوش"
"joq der joq","جوق در جوق"
"jokham","جوكهم"
"juni","جوني"
"johar","جوهر"
"joeiye","جوئيے"
"jiyaare","جيارے"
"jeet","جيت"
"jeeraan","جيران"
"jaim","جيم"
"jiw","جيو"
"jiw jaan","جيو جان"
"jewaa","جيوا"
"jewaare","جيوارے"
"haajat","حاجة-حاجات/حوائج"
"haajat mand","حاجة مند"
"haashiyah","حاشية"
"haasil","حاصل"
"haasil husul","حاصل حصول"
"haazri","حاضري"
"haafiz","حافظ"
"haafiz ul quran","حافظ القران"
"haakim","حاكم"
"haal","حال"
"haalaake","حالانكه"
"haalat","حالة-حالات"
"haamela","حاملة"
"haawi","حاوي"
"haaez","حائز"
"hub","حب"
"habbat-habbaat","حبة-حبات"
"hablullah","حبل الله"
"hable mateen","حبل متين"
"hatta ke","حتىْ كه"
"haj","حج"
"hijaab-hujub","حجاب-حجب"
"hujjaaj","حجاج"
"hujjat","حجة"
"hajar","حجر"
"hajar ul aswad","حجر الاسود"
"hujra","حجرة"
"had-hudood","حد-حدود"
"hadd qaim kerwu","حد قائم كروؤ"
"hadas","حدث"
"hudood kiraam","حدود    كرام"
"hudood fozola","حدود فضلاء"
"hadiyat","حدية"
"hadeeth","حديث-احاديث"
"hur","حر"
"heraasat","حراسة"
"haraam","حرام"
"harb-huroob","حرب-حروب"
"haraj","حرج"
"harasat-hurraas","حرسة-حراس"
"hirs","حرص"
"harf-huruf","حرف-حروف"
"harakat-harakaat","حركة-حركات"
"haram","حرم"
"hurmat","حرمة"
"haramain","حرمين"
"hurriyat","حرية"
"hazam","حزم"
"huzun","حزن"
"his","حس"
"hisaab","حساب"
"husaam","حسام"
"hasad","حسد"
"husn","حسن"
"husn ul ittefaaq","حسن الاتفاق"
"husn ul bayaan","حسن البيان"
"husn ut taba'ul","حسن التبعل"
"husn uz zikr","حسن الذكر"
"husn ul qabool","حسن القبول"
"hasanat","حسنة-حسنات"
"haseen","حسين"
"hashar","حشر"
"hisaar","حصار"
"hisn-husoon","حصن-حصون"
"hisso, hissa","حصه-حصه ؤ"
"hazrat","حضرة"
"hazrat aaliya","حضرة عالية"
"huzure aa'la","حضور اعلىْ ط ع"
"huzuri","حضوري"
"haz-huzuz","حظ-حظوظ"
"haz e wafir","حظ وافر"
"hifaazat","حفاظة"
"hifz","حفظ"
"hafazat","حفظة"
"haflat","حفلة"
"hafeed","حفيد"
"haq","حق"
"haq-huquq","حق- حقوق"
"haqeer","حقير"
"haqiqat-haqaeq","حقيقة-حقائق"
"haqiqi","حقيقي"
"hikaayat","حكاية-حكايات"
"hukum-ahkaam","حكم-احكام"
"hikmat","حكمة"
"hukoomat","حكومة"
"hakeem","حكيم"
"hal kerwu","حل كروؤ"
"halaal","حلال"
"halq","حلق"
"halqa","حلقة"
"hulqoom","حلقوم"
"hilm","حلم"
"hulum","حلم"
"himaayat","حماية"
"hamd","حمد"
"hamal","حمل"
"hamla, hamlo","حملة"
"hamalat ul arsh","حملة العرش"
"hamla war thawu","حملة ور تهاوؤ"
"hamiyat","حمية"
"haneef","حنيف"
"haneen","حنين"
"hawaas","حواس"
"hur-huro","حور-حورو"
"hur ul een","حور العين"
"hosla-o","حوصله"
"hoz","حوض"
"hoze kausar","حوض كوثر"
"hol","حول"
"haweli","حويلي"
"hai","حي"
"haya","حياء"
"hayaat","حياة"
"hayaati","حياتي"
"hesiyat","حيثية"
"heraangi","حيرانگي"
"heraat","حيرة"
"haiz","حيض"
"heela","حيلة"
"haywaan","حيوان-حيوانات"
"hayaat tayeba","حيوة طيبة"
"khaatam","خاتَم"
"khaatim","خاتم"
"khaatemat","خاتمة"
"khaatun","خاتون"
"khaadim","خادم"
"khaareji","خارجي"
"khaas","خاص"
"khaassatan","خاصةً"
"khaasiyat","خاصية"
"khaatir","خاطر"
"khaater","خاطر"
"khaafeqa","خافقة"
"khaafeqain","خافقين"
"khaaqaani","خاقاني"
"khaak","خاك"
"khaak e shifa","خاك شفاء"
"khaalis","خالص"
"khaaliq","خالق"
"khaali","خالي"
"khaam","خام"
"khamoshi","خاموشي"
"khaami","خامي"
"khaandaan","خاندان"
"khaangi","خانگي"
"khaawind","خاوند"
"khabar","خبر"
"khubrat","خبرة"
"khaberdaar","خبردار"
"khabees-khobosaa","خبيث-خبثاء"
"khitaam","ختام"
"khataanat","ختانة"
"khatam","ختم"
"khajil thawu","خجل تهاوؤ"
"khuda ta'alaa","خدا  تعالى"
"khuda na khuwaasta","خدانخواسته"
"khidmat","خدمة"
"khadi'at","خديعة"
"kharaab","خراب"
"khuraafat","خرافة"
"kharach","خرچ"
"kharcho","خرچوؤ"
"khiradmand","خردمند"
"khareedwu","خريدوؤ"
"khareef","خريف"
"khuzada","خزاده"
"khizaa","خزاں"
"khazaanchi","خزانچي"
"khazaana, khazaano","خزانه"
"khasta haal","خسته حال"
"khusraan","خسران"
"khusoof","خسوف"
"khushki","خشكي"
"khushu","خشوع"
"khashiyat","خشية"
"khasf kerwu","خصف كروؤ"
"khaslat-khisaal/khasaail","خصلة-خصال/خصائل"
"khususan","خصوصاً"
"khusumat","خصومة"
"khidaab","خضاب"
"khuzu","خضوع"
"khat","خط"
"khata-khatiyaat/khataya","خطاء-خطيّات/خطايا"
"khitaab","خطاب"
"khitaabat","خطابة"
"khatb-khutoob","خطب-خطوب"
"khutba","خطبة"
"khatro","خطره"
"khafaa","خفاء"
"khafgi","خفگي"
"khafi","خفي"
"khulaasa","خلاصة"
"khilaafat","خلافة"
"khalad","خلد"
"kholosa","خلصاء"
"khalaf","خلف"
"khuluq","خلق"
"khilqat-khalaiq","خلقة-خلائق"
"khalal","خلل"
"khalwat","خلوة"
"khuloos","خلوص"
"khalooq","خلوق"
"khalifa-kholofa","خليفة-خلفاء"
"khalil","خليل"
"khamar","خمر"
"khumus","خمس"
"khamsat athaar","خمسة اطهار"
"khamyaazo","خميازو"
"khamira","خميرة"
"khamees","خميس"
"khanjar","خنجر"
"khandaq","خندق"
"khinzeer","خنزير"
"khuwaab","خواب"
"khuwaab gah","خواب گاه"
"khuwaar","خوار"
"khuwaari","خواري"
"khuwahish","خواهش"
"khoob howu","خوب هوؤ"
"khoobsurat","خوبصورة"
"khoobi","خوبي-خوبيو"
"khud","خود"
"khud ba khud","خود بخود"
"khush nasibi","خوش نصيبي"
"khushbu","خوشبو"
"khushhaal","خوشحال"
"khushkhabri","خوشخبري"
"khusgawaar","خوشگوار"
"khushmohi","خوشموهي"
"khushnuma","خوشنما"
"khushi","خوشي"
"khouf","خوف"
"khoufnaak","خوفناك"
"khoon","خون"
"khoonrezi","خون ريزي"
"khayaal","خيال"
"khayaanat","خيانة"
"khair","خير"
"khair khwa","خير خواه"
"khairaat","خيرات"
"khail","خيل"
"khayma, khaymo","خيمة-خيام"
"khaimagah","خيمة گاه"
"chaatwu","چاتوؤ"
"chaader","چادر"
"chaarsu","چارسو"
"chaaro","چارو"
"chaari khaawu","چاري كهاوؤ"
"chaak kerwu","چاك كروؤ"
"chaakheri","چاكهري"
"chaakho","چاكهوؤ"
"chaal","چال"
"chaal chalan","چال چلن"
"chaal dhaal","چال دهال"
"chaalaak","چالاك"
"chaalu kerwu","چالوكروؤ"
"chaamru","چامرو"
"chaamri","چامري"
"chaanch","چانچ"
"chaand","چاند"
"chaandi","چاندي"
"chaahwu","چاهوؤ"
"chaawal","چاول"
"chaawu","چاوؤ"
"chaawi","چاوي"
"chabaawu","چباوؤ"
"chup rehwu","چپ رهوؤ"
"chappal","چپل"
"chatto","چتّو"
"chitaarwu","چتاروؤ"
"chataan","چتان"
"chitthi","چتهي"
"charho","چرٌهوؤ"
"chiraag","چراغ"
"chercha","چرچا"
"charindah","چرنده"
"cherhaai kerwu","چرهائي كروؤ"
"charhi ne aawu","چرهي نے اٰوؤ"
"chaspaa kerwu","چسپا كروؤ"
"chasma","چشمة"
"chugul khori","چغل خوري"
"chugli","چغلي"
"chakki","چكّي"
"chiken","چكن"
"chalu jaawu","چلو جاوؤ"
"chalwu","چلوؤ"
"chamak","چمك"
"chamakwu","چمكوؤ"
"chaman","چمن"
"chand","چند"
"chanda chand","چندا چند"
"chanderma","چندرما"
"chingari","چنگاري"
"chunanda","چننده"
"chunwu","چنوؤ"
"chaati","چهاتي"
"chaapwu","چهاپوؤ"
"chaak","چهاك"
"chaan","چهان"
"chaanto","چهانتو"
"chaai jawu","چهائي جاوؤ"
"chabwu","چهبوؤ"
"chat","چهت"
"chutta","چهتّا"
"chatti","چهتّي"
"chatri","چهتري"
"chutkaro","چهتكارو"
"chutko","چهتكو"
"chupwu","چهپوؤ"
"churaawu","چهراوؤ"
"charakwu","چهركوؤ"
"churi","چهري"
"chilai jaawu","چهلائي جاوؤ"
"chilka","چهلكا"
"chalni kerwu","چهلني كروؤ"
"chilwu","چهلوؤ"
"choot","چهوت"
"chota","چهوتا"
"chootpan","چهوتپن"
"chuti jaawu","چهوتي جاوؤ"
"chupeylu, chupeylo","چهوپيلو"
"chorwu","چهوروؤ"
"chokra","چهوكرا"
"chokri","چهوكري"
"cheterpindi","چهيتر پندي"
"cheterwu","چهيتروؤ"
"chidi naakhwu","چهيدي ناكهوؤ"
"chero","چهيرو"
"cheele","چهيلے"
"cheylu, cheylo","چهيلو"
"cheenk","چهينك"
"cheenwu","چهينوؤ"
"chehra","چهره"
"chehlum","چهلم"
"chor","چور"
"choraan","چوران"
"chorus","چورس"
"choro","چورو"
"chori","چوري كروؤ"
"chooswu","چوسوؤ"
"cho taraf","چوطرف"
"choka","چوكا"
"chogird","چوگرد"
"chokhai","چوكهائي"
"chokkhu","چوكهو"
"chokibaan","چوكي بان"
"choki dewu","چوكي ديوؤ"
"choomo","چوموؤ"
"chitaawu","چيتاوؤ"
"chiterwu","چيتروؤ"
"chital","چيتل"
"chikhwu","چيخوؤ"
"chirwu","چيروؤ"
"cheez","چيز"
"check kerwu","چيك كروؤ"
"chain","چين"
"daabbat","دابة"
"daaba","دابو"
"daataar","داتار"
"daatan","داتن"
"daakhil","داخل"
"daadaa","دادا"
"daader","دادر"
"daadi","دادي"
"daar","دار"
"daari","دارٌهي"
"daar ul aakherat","دار الاخرة"
"daar ul khilaafat","دار الخلافة"
"daar us salaam","دارالسلام"
"daaram","دارم"
"daaro madaar","دارو مدار"
"daarain","دارين"
"daastaan","داستان"
"daai","داعي"
"daais satr","داعي الستر"
"daail asar","داعي العصر"
"daag","داغ"
"daakter","داكتر"
"daal","دال"
"daali-daalio","دالي-داليو"
"daam","دام"
"daamer","دامر"
"daaman","دامن"
"daana","دانا"
"daant","دانت"
"daang","دانگ"
"daana-daanaao","دانه-داناؤ"
"daayo","دايو"
"daaeraa, daaero","دائراة"
"daaem","دائم"
"disaar","دثار"
"dukhtar","دختر"
"dukhter","دختر"
"dakhal","دخل"
"dakhal andaazi","دخل اندازي"
"der","در"
"dur-durar","در-درر"
"dirrah","درّة"
"daraaz","دراز"
"darahaal","درانحال"
"darbaar","دربار"
"darbaan","دربان"
"darbadar","دربدر"
"darajah-darajaat","درجة-درجات"
"darakht","درخت"
"dard","درد"
"dardnaak","دردناك"
"darzi","درزي"
"durust kerwu","درست كروؤ"
"dir'a","درع"
"darguzar","درگذر"
"darmiyaan","درميان"
"darinda","درنده"
"dirham","درهم"
"darwaaza, darwaazo","دروازه"
"daro diwaar","دروديوار"
"durwaish","درويش"
"darya","دريا"
"darees","دريس"
"dast","دست"
"dastakhat","دستخط"
"dastoor","دستور"
"dastoor ul amal","دستور العمل"
"dushman","دشمن"
"dushwaar","دشوار"
"dushwaargi","دشوارگي"
"dua","دعاء"
"duaat mutlaqeen","دعاة    مطلقين"
"da'aamat","دعامة-دعائم"
"daawat","دعوة"
"da'wo","دعوىْ"
"daga saazi","دغا سازي"
"dagal saazi","دغل سازي"
"dafter","دفتر"
"dafe'","دفع"
"dafan","دفن"
"daqeeq","دقيق"
"daqeeq o jaleel","دقيق و جليل"
"dukaal","دكال"
"dukaan","دكان"
"dikro","دكرو"
"dikri","دكري"
"dagle pagle","دگلے پگلے"
"dil","دل"
"dilbar","دلبر"
"dilband","دلبند"
"dulha","دلها"
"dulhan","دلهن"
"daleel","دليل"
"dum","دم"
"dam ma dam rehwu","دم ما دم رهوؤ"
"dimaag","دماغ"
"dam'e","دمع"
"din","دن"
"dombo","دنبو"
"dunya","دنيا"
"dhaar","دهار"
"dhaal","دهال"
"dhaalwu","دهالوؤ"
"dhaancha","دهانچه"
"dhaankwu","دهانكوؤ"
"dhab","دهب"
"dharaai jaawu","دهرائي جاوؤ"
"dhurajwu","دهرجوؤ"
"dahriyat na logo","دهرية نا لوگو"
"dhulaawu","دهلاوؤ"
"dohlaai","دهلائي"
"dhali jaawu","دهلي جاوؤ"
"dehleez","دهليز"
"dhanppaaelu","دهمپائلو"
"dhamkaawu","دهمكاوؤ"
"dhamki","دهمكي"
"dhani","دهني"
"dhoop","دهوپ"
"dhor","دهور"
"dhoka bazi","دهوكا بازي"
"dhool","دهول"
"dhoolni","دهولني"
"dholwu","دهولوؤ"
"dhoondo","دهوندوؤ"
"dhowu","دهوؤ"
"dahi","دهي"
"dheyan","دهيان"
"dhiraj raakhwu","دهيرج راكهوؤ"
"dhilu","دهيلو"
"dhimey dhimey","دهيمے دهيمے"
"dhimey si","دهيمے سي"
"dawaa","دواء"
"dawaat","دواة"
"dobaara","دوباره"
"dubki","دوبكي"
"dublo","دوبلو"
"dubwu","دوبوؤ"
"dupatta","دوپته"
"dopaher","دوپهر"
"do jahaan","دوجهاں"
"doodh","دودهـ"
"dudhi","دودهي"
"dowr","دور"
"door","دور"
"dowr us satr","دور الستر"
"dowrwu","دوروؤ"
"doori","دوري"
"dozakh","دوزخ"
"dost","دوست"
"doshaalo","دوشالا"
"dowal","دوَل"
"dolaab","دولاب"
"doulat","دولة"
"dolatmand","دولتمند"
"dun","دون"
"dunti","دونتي"
"dunchaa","دونچا"
"diyaanat","ديانة"
"diyaanatdaari","ديانتداري"
"deedaar","ديدار"
"dair/dairi thawu","دير/ديري تهاوؤ"
"daish nikaalo","ديش نكالو"
"dekhaaw","ديكهاؤ"
"dekhwu","ديكهوؤ"
"dain","دين"
"deen","دين"
"dinaar","دينار"
"deedaar","ديندار"
"diwaar","ديوار"
"diwaan","ديوان"
"diwo","ديوو"
"dewu","ديوؤ"
"zaat-zawaat","ذات-ذوات"
"zabeh kerwu","ذبح كروؤ"
"zabeehat","ذبيحة"
"zukhur","ذخر"
"zakheera, zakheero","ذخيرة"
"zarra","ذرّة"
"zara","ذره"
"zara bhi","ذره بهي"
"zara si","ذره سي"
"zirwat","ذروة"
"zurriyat","ذريّة"
"zari'a, zari'o","ذريعة"
"zakaa","ذكاء"
"zukaa","ذكاء"
"zikr","ذكر"
"zikra","ذكرىْ"
"zaki","ذكي"
"zillat","ذلة"
"zalil","ذليل"
"zimme daari","ذمة داري"
"zehen","ذهن"
"zehen nasheen","ذهن نشين"
"zaheen","ذهين"
"zuwaabat","ذوابة"
"zul faqaar","ذوالفقار"
"zawq","ذوق"
"zouq","ذوق"
"zouq e saleem","ذوق سليم"
"zil hajjatul haraam","ذي الحجة الحرام"
"zil qa'datul haraam","ذي القعدة الحرام"
"raat","رات"
"raaj","راج"
"raaja","راجا"
"raajeh","راجح"
"raahat","راحة"
"raaz","راز"
"raaziq","رازق"
"raasta, raasto","راسته"
"raasikh","راسخ"
"raadi","راضي"
"raafdi","رافضي"
"raakib","راكب"
"raakho","راكهوؤ"
"raani","راني"
"raah","راه"
"raawat","راوت"
"raawi","راوي"
"raayat-raayaat","راية-رايات"
"raaij","رائج"
"raai","رائي"
"raas","رأس"
"raafat","رأفة"
"rab","رب"
"rubbaan","ربّان"
"ribeh","ربح"
"riba","ربىْ"
"rabi'","ربيع"
"rabi ul aakher","ربيع الاخر"
"rabi ul awwal","ربيع الاول"
"report","رپورت"
"rutba","رتبة"
"rajab al asab","رجب الاصب"
"rujhaan","رجحان"
"rajiz","رجز"
"rajiz","رجس"
"rijl","رجل"
"rajul-rijaal","رجل-رجال"
"rajam","رجم"
"ruju'","رجوع"
"rachna","رچنا"
"rehlat","رحلة"
"rehlat ilmiyah","رحلة علمية"
"rahem","رحم"
"rehmat","رحمة"
"rehmat mushakh-khasa","رحمة مشخصة"
"raheem","رحيم"
"rukhsaar","رخسار"
"rukhsat","رخصة"
"rad","رد"
"rida","رداء"
"razilat-razaail","رذيلة-رذائل"
"raza","رزا"
"rizq","رزق-ارزاق"
"ras","رس"
"rassi","رسّي"
"risaalat","رسالة"
"risaalat-rasaail","رسالة-رسائل"
"rasam","رسم"
"ruswaai","رسوائي"
"rasool-rusul","رسول-رسل"
"rasool ullah","رسول الله"
"rishta, rishto","رشته"
"rishte daar","رشته دار"
"rushd","رشد"
"rashk kerwu","رشك كروؤ"
"rishwat","رشوة"
"rasheed","رشيد"
"rada'at","رضاعة"
"ridwaan ul allah alaihe","رضوان الله عليه"
"ridaa","رضىْ"
"rotab","رطب"
"ratal","رطل"
"ru'aat","رعاة"
"ra'eeyat","رعية"
"ragbat","رغبة-رغائب"
"raftaar","رفتار"
"raftaar guftaar","رفتار گفتار"
"rifq","رفق"
"rafu","رفو"
"rafu gar","رفوگر"
"rafee'","رفيع"
"rafeeq","رفيق"
"raqabat-raqabaat","رقبة-رقبات"
"riqqat","رقة"
"ruqaa'","رقعة"
"raqam","رقم"
"raqeeb","رقيب"
"riqaab","ركاب"
"rak'at-raka'aat","ركعة-ركعات"
"rug","رگ"
"rugraa","رگرا"
"rukun","ركن"
"rukn e rakeen","ركن ركين"
"rakhopaa","ركهوپا"
"rukoo'","ركوع"
"rummaan","رمّان"
"ramad","رمد"
"ramz","رمز"
"ramadaan ul moazzam","رمضان المعظم"
"ramo","رموؤ"
"ran","رن"
"rang","رنگ"
"rihaaish","رهائش"
"rehbar","رهبر"
"rehen","رهن"
"rehen sehen","رهن سهن"
"rehnumaai","رهنمائي"
"rehwa do","رهوا دو"
"rehwu","رهوؤ"
"rawaa","روا"
"rawaadaari","روا داري"
"riwaaj","رواج"
"rawaa","رواں"
"ruwaaq","رواق"
"rawaani","رواني"
"riwaayat","رواية"
"roti","روتي"
"rupaa","روپا"
"rupaalo","روپالو"
"rupya","روپيه"
"ruh","روح"
"ruh ul ameen","روح الامين"
"rohaani","روحاني"
"rooz","روز"
"roozaana","روزانه"
"roozgaar","روزگار"
"roza, rozu","روزه"
"","روزي"
"roshan","روشن"
"roshni","روشني"
"roudat","روضة"
"rukaawat","روكاوت"
"roug","روگ"
"rookwu","روكوؤ"
"rumaal","رومال"
"roowu","روؤ"
"raoof","روؤف"
"raweewaar","رويوار"
"ro'yaa","رؤيا"
"riya-riyaai","رياء/ريائي"
"riyaasat","رياسة"
"riyaazat","رياضة"
"reet","ريت"
"reet riwaaj","ريت رواج"
"raiti","ريتي"
"reeh","ريح"
"raihaan-raihaanat","ريحان-ريحانة"
"reerh ni haddi","ريرهـ  ني هدي"
"rairwu","ريروو"
"raisham","ريشم"
"reekhwu","ريكهوؤ"
"raees","رئيس-رؤساء"
"raees ul jamhuriyah","رئيس الجمهورية"
"raees ul wozora","رئيس الوزراء"
"zaad","زاد"
"zaar zaar","زار زار"
"zaahir","زاهر"
"zaveyat-zavaayaa","زاوية-زوايا"
"zaair-zaaireen","زائر-زائرين"
"zaail","زائل"
"zabaan","زبان"
"zabaani","زباني"
"zubdah","زبدة"
"zabardast","زبردست"
"zaboor","زبوز"
"zehmat","زحمة"
"zakh-khaar","زخّار"
"zakham","زخم"
"zarkhaiz","زرخيز"
"za'faraan","زعفران"
"za'am","زعم"
"zaeem","زعيم"
"zakaat","زكوة"
"zaki","زكي"
"zulaal","زلال"
"zalzala-zalaazil","زلزلة-زلازل"
"zulfa","زلفىْ"
